summary,product,comp,updated,lemmatized_str,cluster_labels,cluster1,cluster2,common_words
"active tab not shown, problem to reach tab outside visible area in tab_bar        ",Firefox,Tabbed Browser        ,2022-10-10    ,active tab shown problem reach tab outside visible area tabbar ,0,"tab, bar, show","tab, bar","tab, bar"
"ability to move avater into .titlebar-spacer[type=""pre-tabs""]        ",Firefox,Tabbed Browser        ,2020-09-05    ,ability move avater titlebarspacertypepretabs ,0,"tab, bar","tab, bar","tab, bar"
custom tab sizes in userchrome.css breaks the tab bar        ,Firefox,General        ,2022-10-10    ,custom tab size userchromecss break tab bar ,0,"tab, bar","tab, bar, size","tab, bar"
update to search preferences in new tab search bar        ,Firefox,New Tab Page        ,2022-10-11    ,update search preference new tab search bar ,0,"tab, bar, search","tab, bar","tab, bar"
more pref control on tabs & tabbar animation events.        ,Firefox,Tabbed Browser        ,2022-10-10    ,pref control tab tabbar animation event ,0,"tab, bar","tab, bar","tab, bar"
"location bar says ""search or enter address"" on unrestored tabs for a short time after switching to it        ",Firefox,Tabbed Browser        ,2022-10-11    ,location bar say search enter address unrestored tab short time switching ,0,"tab, add, bar, search","tab, bar","tab, bar"
phantom duplicate tabs in tab bar        ,Firefox,Tabbed Browser        ,2022-10-10    ,phantom duplicate tab tab bar ,0,"tab, bar","tab, bar","tab, bar"
once the tab bar is overflown clicking the x repeatedly without moving the cursor ends up clicking on the +        ,Firefox,Tabbed Browser        ,2022-10-11    ,tab bar overflown clicking x repeatedly without moving cursor end clicking ,0,"tab, bar","tab, bar","tab, bar"
"full tab bar responds to up/down scrolling, but not sideways scrolling.        ",Firefox,Tabbed Browser        ,2022-10-10    ,full tab bar responds updown scrolling sideways scrolling ,0,"tab, bar","tab, bar","tab, bar"
new tabs created by a middle click on a link don't appears in the tab bar        ,Firefox,Tabbed Browser        ,2022-10-10    ,new tab created middle click link dont appears tab bar ,0,"tab, bar","tab, bar","tab, bar"
browser.tabs.drawintitlebar visual bug only on windows 10        ,Firefox,Theme        ,2022-10-11    ,browsertabsdrawintitlebar visual bug window 10 ,1,"tab, bar","window, tab, 10, bar, browser","tab, bar"
drag-and-drop move tab in tab bar sometimes freeze tab at misaligned location        ,Firefox,Tabbed Browser        ,Fri 02:34    ,draganddrop move tab tab bar sometimes freeze tab misaligned location ,0,"tab, bar","tab, bar","tab, bar"
another scroll bar is shown while resizing the browser from bottom in about:newtab when having some highlights        ,Firefox,New Tab Page        ,2020-10-08    ,another scroll bar shown resizing browser bottom aboutnewtab highlight ,0,"tab, bar, show","tab, bar, browser","tab, bar"
searches via new tab searchbar executed with keyboard take into account the mouse position        ,Firefox,Search        ,2021-01-14    ,search via new tab searchbar executed keyboard take account mouse position ,0,"tab, bar, search","tab, bar","tab, bar"
white line/border at the top of the navigation toolbar missing (tabs-on-top)        ,Firefox,Theme        ,2022-10-10    ,white lineborder top navigation toolbar missing tabsontop ,0,"tab, bar","tab, bar","tab, bar"
task bar thumbnails show old tabs that don't exist.        ,Firefox,Shell Integration        ,2022-10-10    ,task bar thumbnail show old tab dont exist ,0,"tab, bar, show","tab, bar","tab, bar"
"when maximized with tabs in titlebar are filled, win7 aero is broken -> no easy drag of titlebar, just some small places you have to hit        ",Firefox,Theme        ,2022-10-10    ,maximized tab titlebar filled win7 aero broken easy drag titlebar small place hit ,0,"tab, bar","tab, bar","tab, bar"
[10.11] (ui) tab bar needs more contrast in os x 10.11 el capitan        ,Firefox,Theme        ,2022-10-11    ,1011 ui tab bar need contrast o x 1011 el capitan ,0,"tab, bar","tab, 10, bar","tab, bar"
"no results search shortcuts (tabs,bookmarks, history) flicker when focus-defocus address bar        ",Firefox,Address Bar        ,2021-05-18    ,result search shortcut tabsbookmarks history flicker focusdefocus address bar ,0,"tab, add, bookmark, bar, search","tab, bar","tab, bar"
white shading on new tab bar is ugly/hard to read if not using standard dark-on-light theme        ,Firefox,Theme        ,2022-10-10    ,white shading new tab bar uglyhard read using standard darkonlight theme ,0,"tab, bar","tab, bar","tab, bar"
single click sometimes acts as double click when clicking on tab/tabbar while ff window is unfocused        ,Firefox,Tabbed Browser        ,2022-10-11    ,single click sometimes act double click clicking tabtabbar ff window unfocused ,1,"tab, bar","window, tab, bar","tab, bar"
"ability to drag from ""list all tabs"" to a position on the tab bar        ",Firefox,Tabbed Browser        ,2022-10-10    ,ability drag list tab position tab bar ,0,"tab, bar","tab, bar","tab, bar"
top tabs bar is partially displayed when attempting to drag and drop links        ,Firefox for iOS,General        ,2022-10-11    ,top tab bar partially displayed attempting drag drop link ,0,"tab, bar","tab, bar","tab, bar"
globe icon in switch-to-tab awesomebar results is always black        ,Firefox,Theme        ,2022-10-11    ,globe icon switchtotab awesomebar result always black ,0,"tab, bar","tab, bar","tab, bar"
tab bar mixed up        ,Firefox,Tabbed Browser        ,2022-10-11    ,tab bar mixed ,0,"tab, bar","tab, bar","tab, bar"
"with dark mode, websites are dark but tabs and awesome bar are light.        ",Firefox,Theme        ,2022-10-12    ,dark mode website dark tab awesome bar light ,0,"tab, bar","tab, bar","tab, bar"
autorefresh notification bar disappears when moving the tab to a different window        ,Firefox,Tabbed Browser        ,2022-10-11    ,autorefresh notification bar disappears moving tab different window ,1,"tab, bar","window, tab, bar","tab, bar"
highlight differs on the tabs bar on windows 7        ,Firefox,Tabbed Browser        ,2021-04-13    ,highlight differs tab bar window 7 ,1,"tab, bar","window, tab, bar","tab, bar"
"[tablet mode] firefox desktop display titlebar by default, ignores edge swipe        ",Firefox,General        ,2022-10-11    ,tablet mode firefox desktop display titlebar default ignores edge swipe ,0,"tab, bar","tab, bar","tab, bar"
tab bar vibrates when browser.tabs.tabminwidth set lower        ,Firefox,Tabbed Browser        ,2022-10-10    ,tab bar vibrates browsertabstabminwidth set lower ,0,"tab, bar","tab, bar, browser","tab, bar"
navigation toolbar shows in fullscreen mode after switching from about:addons to another tab        ,Firefox,Toolbars and Customi        ,2022-10-10    ,navigation toolbar show fullscreen mode switching aboutaddons another tab ,0,"tab, add, bar, show","tab, bar, screen","tab, bar"
wish: improve tab browser into a vertical bar with tree structure        ,Firefox,Tabbed Browser        ,2022-10-10    ,wish improve tab browser vertical bar tree structure ,0,"tab, bar","tab, bar, browser","tab, bar"
closing tabs changes the tab-focus order in the tab-bar        ,Firefox,Tabbed Browser        ,2022-10-11    ,closing tab change tabfocus order tabbar ,0,"tab, bar","tab, bar","tab, bar"
(proton) (regression) the padlock icon position in the address bar is not stable for secure and mixed content        ,Firefox,Address Bar        ,2021-12-02    ,proton regression padlock icon position address bar stable secure mixed content ,0,"tab, add, bar","tab, bar","tab, bar"
drag and drop of text or link should put it in address bar of a new tab (super dnd)        ,Firefox,General        ,2022-10-10    ,drag drop text link put address bar new tab super dnd ,0,"tab, add, bar","tab, bar","tab, bar"
[proton tabs bar] tab with long tab title flickers when hovering over it        ,Firefox,Theme        ,2021-05-12    ,proton tab bar tab long tab title flicker hovering ,0,"tab, bar","tab, bar","tab, bar"
support translucent nav-bar and tab-bar in fullscreen mode        ,Firefox,Toolbars and Customi        ,2022-10-10    ,support translucent navbar tabbar fullscreen mode ,0,"tab, bar","tab, bar, screen","tab, bar"
the tabs tray scrolls down causing the search tabs bar to hide when clearing text in the search field        ,Firefox for iOS,General        ,2022-10-11    ,tab tray scroll causing search tab bar hide clearing text search field ,0,"tab, bar, search","tab, bar","tab, bar"
firefox tab bar misinterprets clicks as drags under heavy load        ,Firefox,Tabbed Browser        ,2022-10-11    ,firefox tab bar misinterprets click drag heavy load ,0,"tab, bar","tab, bar","tab, bar"
draw horizontal and space between tab bar and web page        ,Firefox,Tabbed Browser        ,2022-10-10    ,draw horizontal space tab bar web page ,0,"tab, page, bar","tab, bar","tab, bar"
"with ""bookmarks toolbar: only show on new tab"", tab-switches to/from a new-tab cause the viewport-height to change (and cause layout/paint jank) **in all background tabs**        ",Firefox,Bookmarks & History        ,2022-06-14    ,bookmark toolbar show new tab tabswitches tofrom newtab cause viewportheight change cause layoutpaint jank background tab ,0,"tab, bookmark, bar, show","tab, bar","tab, bar"
"when all other toolbars are hidden, tabs look ugly with any addon's toolbar.        ",Firefox,Theme        ,2022-10-10    ,toolbars hidden tab look ugly addons toolbar ,0,"tab, add, bar","tab, bar","tab, bar"
"lack of subpixel anti-aliasing in tab, side and status bar in proton        ",Firefox,Tabbed Browser        ,2021-12-30    ,lack subpixel antialiasing tab side status bar proton ,0,"tab, bar","tab, bar","tab, bar"
"navigator toolbar favicon does not match tab favicon when viewing ""offline mode"" message.        ",Firefox,Toolbars and Customi        ,2022-10-10    ,navigator toolbar favicon match tab favicon viewing offline mode message ,0,"tab, bar","tab, bar","tab, bar"
restoring the previous session causes the first tab to have the focus on the address bar        ,Firefox,Session Restore        ,2022-10-11    ,restoring previous session cause first tab focus address bar ,0,"tab, add, bar","tab, bar","tab, bar"
"unlike bookmarks and history, dark themes are incompatible with synced tab sidebar        ",Firefox,Sync        ,2022-10-11    ,unlike bookmark history dark theme incompatible synced tab sidebar ,0,"tab, bookmark, bar","tab, bar","tab, bar"
"""switch to tab"" doesn't appear when searching in awesomebar via typing in special characters after search term        ",Firefox,Address Bar        ,2022-10-11    ,switch tab doesnt appear searching awesomebar via typing special character search term ,0,"tab, bar, search","tab, bar","tab, bar"
ipad animation polish: show tab tray animation causes status bar light/dark flashing effect        ,Firefox for iOS,General        ,2022-10-11    ,ipad animation polish show tab tray animation cause status bar lightdark flashing effect ,0,"tab, bar, show","tab, bar","tab, bar"
[mac] window dragging and tab dragging are overlapping for a narrow area in tabbar        ,Firefox,Tabbed Browser        ,2022-10-11    ,mac window dragging tab dragging overlapping narrow area tabbar ,1,"tab, bar","window, tab, bar","tab, bar"
[synced tabs sidebar] search box does not have clear icon on mac        ,Firefox,Theme        ,2022-10-11    ,synced tab sidebar search box clear icon mac ,0,"tab, bar, search","tab, bar","tab, bar"
design an offline state of synced tabs sidebar        ,Firefox,Sync        ,2022-10-11    ,design offline state synced tab sidebar ,0,"tab, bar","tab, bar","tab, bar"
double switch to tab option appears in address bar.        ,Firefox,Address Bar        ,2021-11-17    ,double switch tab option appears address bar ,0,"tab, add, bar, option","tab, bar","tab, bar"
search bar in tabs tray is not revealed when scrolling        ,Firefox for iOS,General        ,2022-10-11    ,search bar tab tray revealed scrolling ,0,"tab, bar, search","tab, bar","tab, bar"
sidebar throbber not updated in photon to match tab throbber        ,Firefox,Theme        ,2022-10-11    ,sidebar throbber updated photon match tab throbber ,0,"tab, bar","tab, bar","tab, bar"
new tab does not auto-focus address bar        ,Firefox,Address Bar        ,Wed 04:13    ,new tab autofocus address bar ,0,"tab, add, bar","tab, bar","tab, bar"
tabs not navigable from taskbar like internet explorer        ,Firefox,General        ,2022-10-10    ,tab navigable taskbar like internet explorer ,0,"tab, bar","tab, bar","tab, bar"
[e10s][linux] no more tab preview after dragging & dropping a tab in the title bar        ,Firefox,Tabbed Browser        ,2022-10-11    ,e10slinux tab preview dragging dropping tab title bar ,0,"tab, bar","tab, 10, bar","tab, bar"
page load progress bar visible for a split second on tab change        ,Firefox for iOS,General        ,2022-10-11    ,page load progress bar visible split second tab change ,0,"tab, page, bar","tab, bar","tab, bar"
tab moving in the tab bar has visual issues        ,Firefox,Tabbed Browser        ,2022-10-11    ,tab moving tab bar visual issue ,0,"tab, bar","tab, bar","tab, bar"
"the ""firefox view"" cfr message is not displayed if four new tabs are closed while the ""address bar"" is focused        ",Firefox,Messaging System        ,2022-10-31    ,firefox view cfr message displayed four new tab closed address bar focused ,0,"tab, add, bar","tab, bar, close","tab, bar"
"clicking bar underneath tabs, creates new tab        ",Firefox,Tabbed Browser        ,2022-10-10    ,clicking bar underneath tab creates new tab ,0,"tab, bar","tab, bar","tab, bar"
unescape url-as-tab-title in the same way the url bar does.        ,Firefox,Tabbed Browser        ,2022-10-11    ,unescape urlastabtitle way url bar ,0,"tab, bar","tab, bar","tab, bar"
startup info bars should be persistent across tabs        ,Firefox,General        ,2022-10-10    ,startup info bar persistent across tab ,0,"tab, bar","tab, bar","tab, bar"
"when about:newtab is set as homepage, alt+home doesn't focus urlbar        ",Firefox,Keyboard Navigation        ,2022-10-11    ,aboutnewtab set homepage althome doesnt focus urlbar ,0,"tab, page, bar","tab, bar","tab, bar"
no tab bar and cursor misaligned after update to latest firefox nightly        ,Core,Widget: Gtk        ,2022-10-11    ,tab bar cursor misaligned update latest firefox nightly ,0,"tab, bar, test","tab, bar","tab, bar"
layout customization under addon tab doesn't show navigation bar and bookmarks bar        ,Firefox,Toolbars and Customi        ,2022-10-10    ,layout customization addon tab doesnt show navigation bar bookmark bar ,0,"tab, add, bookmark, bar, show","tab, bar","tab, bar"
always show the tab bar preference no longer works        ,Firefox,Tabbed Browser        ,2022-10-10    ,always show tab bar preference longer work ,0,"tab, bar, show, work","tab, bar","tab, bar"
"showing/hiding tab strip and url bar in fullscreen causes web page content to reflow/""jump""        ",Firefox,General        ,2022-10-10    ,showinghiding tab strip url bar fullscreen cause web page content reflowjump ,0,"tab, page, bar, show","tab, bar, screen","tab, bar"
fix uninterruptable reflow in toolbariconcolor::inferfromtext        ,Firefox,Toolbars and Customi        ,2022-10-11    ,fix uninterruptable reflow toolbariconcolorinferfromtext ,0,"tab, bar","tab, bar","tab, bar"
address bar don't take focus when a tab is moved between windows        ,Firefox,Tabbed Browser        ,2022-10-11    ,address bar dont take focus tab moved window ,1,"tab, add, bar","window, tab, bar","tab, bar"
no option for recently closed tabs/windows toolbar icon        ,Firefox,Toolbars and Customi        ,2022-10-11    ,option recently closed tabswindows toolbar icon ,0,"tab, bar, option","window, tab, bar, close","tab, bar"
[developer] rename toptabs to tabbar for clarity        ,Firefox for iOS,General        ,2022-10-11    ,developer rename toptabs tabbar clarity ,0,"tab, bar","tab, bar","tab, bar"
keyboard shortcut for synced tabs sidebar is missing        ,Firefox,Sync        ,2022-10-11    ,keyboard shortcut synced tab sidebar missing ,0,"tab, bar","tab, bar","tab, bar"
toolbar resizing when tabs are made (or loaded or something?)        ,Firefox,Toolbars and Customi        ,2022-10-10    ,toolbar resizing tab made loaded something ,0,"tab, bar","tab, bar","tab, bar"
tabs show the url name but awesomebar shows about:blank and tab cannot be loaded or refreshed and is gone from the data storage        ,Firefox,Session Restore        ,2022-10-11    ,tab show url name awesomebar show aboutblank tab cannot loaded refreshed gone data storage ,0,"tab, bar, show","tab, bar","tab, bar"
the synced tabs sidebar should update when a new device connects        ,Firefox,Sync        ,2022-10-11    ,synced tab sidebar update new device connects ,0,"tab, bar","tab, bar","tab, bar"
closing a tab and scrolling the tab bar doesn't deactivate the tab scrolling arrows        ,Firefox,Tabbed Browser        ,2022-10-10    ,closing tab scrolling tab bar doesnt deactivate tab scrolling arrow ,0,"tab, bar","tab, bar","tab, bar"
hardware acceleration is making firefox tab bar glitch in windows 10        ,Core,Graphics: WebRender        ,2022-10-10    ,hardware acceleration making firefox tab bar glitch window 10 ,1,"tab, bar","window, tab, 10, bar","tab, bar"
"spoof potential due to emoji in url bar, tab titles and titlebar        ",Firefox,Security        ,2022-10-10    ,spoof potential due emoji url bar tab title titlebar ,0,"tab, bar","tab, bar","tab, bar"
closed tab still visible in tab bar        ,Firefox,Tabbed Browser        ,2022-10-10    ,closed tab still visible tab bar ,0,"tab, bar","tab, bar, close","tab, bar"
dragging to the tabbar in rtl-mode indicator is broken        ,Firefox,Tabbed Browser        ,2022-10-03    ,dragging tabbar rtlmode indicator broken ,0,"tab, bar","tab, bar","tab, bar"
tabs and adressbar are positioned too far to the left        ,Firefox,General        ,2022-10-10    ,tab adressbar positioned far left ,0,"tab, bar","tab, bar","tab, bar"
history (and tab?) based suggestions in addressbar sometimes delayed by several seconds        ,Firefox,Address Bar        ,2020-07-08    ,history tab based suggestion addressbar sometimes delayed several second ,0,"tab, add, bar","tab, bar","tab, bar"
titlebar doesn't show real title of current tab if i switch to pending (unloaded) tab with about: page        ,Firefox,Tabbed Browser        ,2022-10-11    ,titlebar doesnt show real title current tab switch pending unloaded tab page ,0,"tab, page, bar, show","tab, bar","tab, bar"
"if drag & drop a tab out firefox to generate a new window, drag & dropped tab disappears in the tab bar of the new window        ",Firefox,Tabbed Browser        ,2022-10-10    ,drag drop tab firefox generate new window drag dropped tab disappears tab bar new window ,1,"tab, bar","window, tab, bar","tab, bar"
firefox freezes when you move stumble upon toolbar to the tab bar.        ,Firefox,Toolbars and Customi        ,2022-10-10    ,firefox freeze move stumble upon toolbar tab bar ,0,"tab, bar","tab, bar","tab, bar"
can no longer scroll the tab bar using touch on win 10 and firefox beta 57.0b5. touch scrolling works on firefox 56.        ,Firefox,Tabbed Browser        ,2022-10-11    ,longer scroll tab bar using touch win 10 firefox beta 570b5 touch scrolling work firefox 56 ,0,"tab, bar, work","tab, 10, bar","tab, bar"
"when firefox is started ""as administrator"" there is no tab preview for multiple tabs in taskbar        ",Core,Widget: Win32        ,2022-10-10    ,firefox started administrator tab preview multiple tab taskbar ,0,"tab, bar","tab, bar","tab, bar"
moving tab with lightweight theme enabled causes line between tab and toolbars        ,Firefox,Theme        ,2022-10-11    ,moving tab lightweight theme enabled cause line tab toolbars ,0,"tab, bar","tab, bar","tab, bar"
"show pending url in location bar (and store for session restore) for tabs with no history, non-web-controlled about:blank loaded and a pending new url        ",Firefox,Address Bar        ,2022-08-16    ,show pending url location bar store session restore tab history nonwebcontrolled aboutblank loaded pending new url ,0,"tab, bar, show","tab, bar","tab, bar"
minimize page to bare necessities when tear off tabs        ,Firefox,Tabbed Browser        ,2022-10-10    ,minimize page bare necessity tear tab ,0,"tab, page, bar","tab, bar","tab, bar"
address bar not functional in last tab when closewindowwithlasttab is set to false        ,Firefox,Tabbed Browser        ,2022-10-11    ,address bar functional last tab closewindowwithlasttab set false ,0,"tab, add, bar","window, tab, bar, close","tab, bar"
tabs overlap firefox button when reducing windows active title bar size        ,Firefox,Theme        ,2022-10-10    ,tab overlap firefox button reducing window active title bar size ,1,"tab, button, bar","window, tab, bar, button, size","tab, bar, button"
tabs bar buttons lacks contrast in high contrast mode        ,Firefox,Tabbed Browser        ,2022-06-13    ,tab bar button lack contrast high contrast mode ,0,"tab, button, bar","tab, bar, button","tab, bar, button"
change toolbar button relocation drop markers to match tab drop marker        ,Firefox,Theme        ,2022-10-10    ,change toolbar button relocation drop marker match tab drop marker ,0,"tab, button, bar","tab, bar, button","tab, bar, button"
"[firefox screenshots] the address bar, search bar and toolbar buttons stop working if you move the ""creating..."" tab to a new window        ",WebExtensions,Frontend        ,2022-10-11    ,firefox screenshots address bar search bar toolbar button stop working move creating tab new window ,1,"tab, button, add, bar, search, work","window, tab, bar, screen, button","tab, bar, button"
"after the tab is resized on the bar the close button ""x"" is displayed only on the focused tab        ",Firefox,Tabbed Browser        ,2022-10-27    ,tab resized bar close button x displayed focused tab ,0,"tab, button, bar","tab, bar, close, button, size","tab, bar, button"
fx button doesnot appear when disabled tabbar        ,Firefox,General        ,2022-10-10    ,fx button doesnot appear disabled tabbar ,0,"tab, button, bar","tab, bar, button","tab, bar, button"
(e10s-specific) [hang tab] bookmarks toolbarbutton creates duplicate bookmarks if content process hangs a bit        ,Firefox,Bookmarks & History        ,2022-10-11    ,e10sspecific hang tab bookmark toolbarbutton creates duplicate bookmark content process hang bit ,0,"tab, button, bookmark, bar","tab, 10, bar, button","tab, bar, button"
tab close button at end of tab bar        ,Firefox,Tabbed Browser        ,2022-10-11    ,tab close button end tab bar ,0,"tab, button, bar","tab, bar, close, button","tab, bar, button"
double-click in tab bar only opens new tab if title bar is enabled        ,Firefox,Tabbed Browser        ,2022-10-11    ,doubleclick tab bar open new tab title bar enabled ,0,"tab, open, bar","tab, open, bar","tab, bar, open"
tab bar won't automatically scroll to new tab (firefox was open for some days)        ,Firefox,Tabbed Browser        ,2022-10-10    ,tab bar wont automatically scroll new tab firefox open day ,0,"tab, open, bar","tab, open, bar","tab, bar, open"
double click on empty tab bar no longer open new tab on os x since firefox 43        ,Firefox,Tabbed Browser        ,2022-10-11    ,double click empty tab bar longer open new tab o x since firefox 43 ,0,"tab, open, bar","tab, open, bar","tab, bar, open"
when using ctrl+tab or new tab from file new tab open but address bar is not highlighted        ,Firefox,Keyboard Navigation        ,2022-10-10    ,using ctrltab new tab file new tab open address bar highlighted ,0,"tab, file, add, open, bar","tab, open, bar","tab, bar, open"
new tab as homepage should not focus the url bar when opening a new tab via today widget or 3dt        ,Firefox for iOS,General        ,2022-10-11    ,new tab homepage focus url bar opening new tab via today widget 3dt ,0,"tab, page, open, bar","tab, open, bar, opening","tab, bar, open"
when opening the sidebar don't shift the tab modal        ,Firefox,WebPayments UI        ,2022-10-11    ,opening sidebar dont shift tab modal ,0,"tab, open, bar","tab, open, bar, opening","tab, bar, open"
middle-click on a search bar completion or search engine options doesn't open new tab in foreground like location bar and bookmark        ,Firefox,Search        ,2021-05-10    ,middleclick search bar completion search engine option doesnt open new tab foreground like location bar bookmark ,0,"tab, bookmark, open, bar, search, option","tab, open, bar","tab, bar, open"
"selecting a synced tab from the awesome bar should open a new tab rather than replacing the current tab, for consistency with ""switch to tab""        ",Firefox,Address Bar        ,2022-10-11    ,selecting synced tab awesome bar open new tab rather replacing current tab consistency switch tab ,0,"tab, open, bar","tab, open, bar","tab, bar, open"
open link in background tab doesn't show toolbar on ipad        ,Firefox for iOS,General        ,2022-10-11    ,open link background tab doesnt show toolbar ipad ,0,"tab, open, bar, show","tab, open, bar","tab, bar, open"
address bar not giving suggestion on opened tabs        ,Firefox,Tabbed Browser        ,2022-10-11    ,address bar giving suggestion opened tab ,0,"tab, add, open, bar","tab, open, bar, opened","tab, bar, open"
opening a link in a new tab does not make the tab bar scroll to the right so you can see it        ,Firefox,Tabbed Browser        ,2022-10-11    ,opening link new tab make tab bar scroll right see ,0,"tab, open, bar","tab, open, bar, opening","tab, bar, open"
right click on selected navbar text open in new tab        ,Firefox,Menus        ,2022-10-10    ,right click selected navbar text open new tab ,0,"tab, open, bar","tab, open, bar","tab, bar, open"
"insecure icon wrongly displayed in adress bar when reopening a local file tab with ""undo close tab""        ",Firefox,Site Identity        ,2021-08-12    ,insecure icon wrongly displayed adress bar reopening local file tab undo close tab ,0,"tab, file, open, bar","tab, open, bar, opening, close","tab, bar, open"
address of last tab appear in address bar of existing open tabs        ,Firefox,Tabbed Browser        ,2022-10-10    ,address last tab appear address bar existing open tab ,0,"tab, add, open, bar","tab, open, bar","tab, bar, open"
"""open last closed tab"" replaces previously created new tab and loses text typed in the url bar (shouldn't consider tabs with `usertypedvalue` to be empty)        ",Firefox,Tabbed Browser        ,2022-10-11    ,open last closed tab replaces previously created new tab loses text typed url bar shouldnt consider tab usertypedvalue empty ,0,"tab, open, bar","tab, open, bar, close","tab, bar, open"
long firefox sessions with many tabs opened cause firefox to cover the windows task bar when it is set to auto hide        ,Core,Widget: Win32        ,2022-10-10    ,long firefox session many tab opened cause firefox cover window task bar set auto hide ,1,"tab, open, bar","window, tab, open, bar, opened","tab, bar, open"
cmd-enter in the address bar should open new links in background tabs on macos        ,Firefox,Keyboard Navigation        ,2022-10-11    ,cmdenter address bar open new link background tab macos ,0,"tab, add, open, bar","tab, open, bar","tab, bar, open"
bookmarks and history sidebars and both address bars don't respect preference to open new tabs in background; they always open tabs in foreground/selected        ,Firefox,Bookmarks & History        ,2022-10-11    ,bookmark history sidebar address bar dont respect preference open new tab background always open tab foregroundselected ,0,"tab, add, bookmark, open, bar","tab, open, bar","tab, bar, open"
opening a new tab and then causing a switch to tab from the awesomebar always results in a short spinner        ,Firefox,Tabbed Browser        ,2022-10-11    ,opening new tab causing switch tab awesomebar always result short spinner ,0,"tab, open, bar","tab, open, bar, opening","tab, bar, open"
"after locking and unlocking the screen firefox will hang when opening a new tab with middleclick, or when the side bar is interacted with        ",Core,Widget: Gtk        ,2022-10-08    ,locking unlocking screen firefox hang opening new tab middleclick side bar interacted ,0,"tab, open, bar","tab, open, bar, screen, opening","tab, bar, open"
"""bookmarks toolbar"" and ""tabs"" get merged together when new window opened when clicking on a link        ",Firefox,Toolbars and Customi        ,2022-10-10    ,bookmark toolbar tab get merged together new window opened clicking link ,1,"tab, bookmark, open, bar","window, tab, open, bar, opened","tab, bar, open"
clicking on tab bar opens new tab        ,Firefox,Tabbed Browser        ,2022-10-11    ,clicking tab bar open new tab ,0,"tab, open, bar","tab, open, bar","tab, bar, open"
tab bar behaves like there are many tabs opened when there's only one        ,Firefox,Tabbed Browser        ,2022-10-10    ,tab bar behaves like many tab opened there one ,0,"tab, open, bar","tab, open, bar, opened","tab, bar, open"
switching to a new opened tab may show toolbar when it shouldn't (tabscrollcontroller kvo bug)        ,Firefox for iOS,General        ,2022-10-11    ,switching new opened tab may show toolbar shouldnt tabscrollcontroller kvo bug ,0,"tab, open, bar, show","tab, open, bar, opened","tab, bar, open"
when i'm opening a link in a new tab it doesn't load (there is only a new tab and the link in the adress bar but it doesn't load automaticaly). this bug is since the rc.        ,Firefox,General        ,2022-10-10    ,im opening link new tab doesnt load new tab link adress bar doesnt load automaticaly bug since rc ,0,"tab, open, bar","tab, open, bar, opening","tab, bar, open"
command clicking on a link in the hashnode navbar switches to the tab upon opening new tab        ,Firefox,Tabbed Browser        ,2022-10-11    ,command clicking link hashnode navbar switch tab upon opening new tab ,0,"tab, open, bar","tab, open, bar, opening","tab, bar, open"
"""find"" bar cannot be closed. at the same time, ""open a new tab"", bookmarks toolbar and reloading page doesn't work.        ",Firefox,Toolbars and Customi        ,2022-10-10    ,find bar cannot closed time open new tab bookmark toolbar reloading page doesnt work ,0,"tab, page, bookmark, open, bar, work","tab, open, bar, close","tab, bar, open"
tab-crash page needs submit button or label        ,Firefox,Tabbed Browser        ,2022-10-11    ,tabcrash page need submit button label ,0,"tab, page, button","tab, button","tab, button"
investigate preparing the next tab on mousedown on the tab close button        ,Firefox,Tabbed Browser        ,2022-10-11    ,investigate preparing next tab mousedown tab close button ,0,"tab, button","tab, close, button","tab, button"
"the two ""new tab"" buttons have different accessible label        ",Firefox,Tabbed Browser        ,2022-04-12    ,two new tab button different accessible label ,0,"tab, button","tab, button","tab, button"
close button appears on aero peek preview of app tabs        ,Firefox,General        ,2022-10-10    ,close button appears aero peek preview app tab ,0,"tab, button","tab, close, button","tab, button"
the “sign up with firefox” and “sign up with email” buttons from the log in to pocket doorhangher have no focus state when navigating with the “tab” key        ,Firefox,Pocket        ,2021-12-02    ,sign firefox sign email button log pocket doorhangher focus state navigating tab key ,0,"tab, button","tab, button","tab, button"
"button ""translate this tab…"" from firefox translation does not show correctly        ",Core,XUL        ,2022-11-02    ,button translate tab firefox translation show correctly ,0,"tab, button, show","tab, button","tab, button"
i can't place the new tab button in its place - rtl        ,Firefox,Toolbars and Customi        ,2022-10-11    ,cant place new tab button place rtl ,0,"tab, button","tab, button","tab, button"
new tab button styling looks different from tabs        ,Firefox,Theme        ,2021-04-20    ,new tab button styling look different tab ,0,"tab, button","tab, button","tab, button"
plus sign (new tab) drawn over window minimize button when firefox run in sandboxie and with 4k resolution        ,Core,Widget: Win32        ,2022-10-11    ,plus sign new tab drawn window minimize button firefox run sandboxie 4k resolution ,1,"tab, button","window, tab, button","tab, button"
"when i click with the new tab and the left click button at the same time, my mouse cursor gets stolen.        ",Firefox,Tabbed Browser        ,2022-10-10    ,click new tab left click button time mouse cursor get stolen ,0,"tab, button","tab, button","tab, button"
tab thinks i'm dragging after mouse button release        ,Firefox,General        ,2022-10-10    ,tab think im dragging mouse button release ,0,"tab, button","tab, button","tab, button"
[tablet mode] integrate with windows 10 global back button        ,Firefox,Shell Integration        ,2020-06-01    ,tablet mode integrate window 10 global back button ,1,"tab, button","window, tab, 10, button","tab, button"
